Tweak,Version,Repo
New Curses,5.9-1,- ncurses5-libs
AppSync Unified,70.0,- net.angelxwind.appsyncunified
Nettle,3.4.1-1,- nettle
New GNU Portable Threads,1.6-1,- npth
OpenSSH,8.1-1,- openssh
libswift (stable),5.0,- org.swift.libswift
Appcon,1.4.7,- org.thebigboss.appcon
DismissProgress,1.0.4,- org.thebigboss.dismissprogress
libcolorpicker,1.6.7,- org.thebigboss.libcolorpicker
BigBoss Icon Set,1.0,- org.thebigboss.repo.icons
SwipeForMore,1.1.10,- org.thebigboss.swipeformore
7-zip (POSIX),16.02-1,- p7zip
PreferenceLoader,2.2.4,- preferenceloader
Profile Directory,0-1,- profile.d
CocoaTop,2.0.2,- ru.domo.cocoatop64
Twitter Labs,1.0.6,- ru.pvmntsdev.twitterlabs
Rose 🌹,4.5,- sh.litten.rose
Tape Archive,1.30-2,- tar
UIKit Tools,1.1.15-2,- uikittools
Cephei,1.14,- ws.hbang.common
NewTerm (iOS 10 – 13),2.4,- ws.hbang.newterm2
Zebra,1.1~beta1-1,- xyz.willy.zebra
System Info,2.0.0-1,- xyz.xninja.systeminfo
XZ Utils,5.2.4-4,- xz
