Tweak,Version,Repo
GnuPG Errors,1.32-1,- libgpg-error
KSBA,1.3.5-1,- libksba
OpenSSL 1.0 Libraries,1.0.2s-1,- libssl1.0
LZ4,1.7.5-1,- lz4
LZMA Utils,2:4.32.7-2,- lzma
twttr,1.0.5,- me.aesthyrica.twttr
HomePlus Beta,0.4.9-beta,- me.kritanta.homeplus
Axon,0.3.0-nocephie,- me.nepeta.axon
Docky,0.2.2,- me.nepeta.docky
IconState,0.1.0,- me.nepeta.iconstate
PlayThatFunkyMusic,1.0.2,- me.trsvsr.ptfm
Cydia Substrate,0.9.7100~b4,- mobilesubstrate
New Curses,6.1+20181013-1,- ncurses
New Curses,5.9-1,- ncurses5-libs
AppSync Unified,70.0,- net.angelxwind.appsyncunified
CallBar XS (iOS 12/13),2.3-75,- net.limneos.callbarxs
SimpleActivationActions,0.1-1,- net.limneos.simpleactivationactions
Nettle,3.4.1-1,- nettle
New GNU Portable Threads,1.6-1,- npth
OpenSSH,7.9p1-3,- openssh
libswift (stable),5.0,- org.swift.libswift
Appcon,1.4.7,- org.thebigboss.appcon
DismissProgress,1.0.4,- org.thebigboss.dismissprogress
libcolorpicker,1.6.7,- org.thebigboss.libcolorpicker
BigBoss Icon Set,1.0,- org.thebigboss.repo.icons
SwipeForMore,1.1.10,- org.thebigboss.swipeformore
7-zip (POSIX),16.02-1,- p7zip
PreferenceLoader,2.2.4~beta1,- preferenceloader
Profile Directory,0-1,- profile.d
Twitter Labs,1.0.6,- ru.pvmntsdev.twitterlabs
Tape Archive,1.30-2,- tar
UIKit Tools,1.1.15-2,- uikittools
Cephei,1.14,- ws.hbang.common
NewTerm (iOS 10 – 13),2.4,- ws.hbang.newterm2
Zebra,1.0,- xyz.willy.zebra
System Info,2.0.0-1,- xyz.xninja.systeminfo
XZ Utils,5.2.4-4,- xz
